Throne Room,A massive hall with a dusty throne.,Sit on throne;Search floor;Leave the room,Golden Crown,,,,,100
Alchemy Lab,Vials of bubbling liquid line the walls.,Drink a potion;Search cabinets;Leave the room,Empty Flask,,,,,3
The Barracks,Old bunks and rusted weapon racks.,Rest on bed;Search lockers;Visit Shop;Leave the room,Iron Dagger,Orc,30,8,35
Wine Cellar,Rows of aging barrels.,Open a barrel;Look behind crates;Leave the room,Vintage Wine,,,,,70
The Pantry,Smells of rot and old grain.,Check sacks;Search the rafters;Leave the room,Dried Meat,,,,,7
Grand Balcony,A windy view of the dark forest.,Shout into the wind;Inspect railing;Leave the room,Telescope,,,,,60
Wizard Tower,Sparking magic fills the air.,Touch an orb;Read a scroll;Leave the room,Spellbook,Skeleton,25,6,90
The Kennel,Empty cages and gnawed bones.,Search straw;Check the bowls;Leave the room,Leather Collar,Wolf,15,4,10
Royal Garden,Overgrown thorny roses.,Pick a flower;Search the fountain;Visit Shop;Leave the room,Silver Spade,,,,,50
The Vault,A heavy iron door stands ajar.,Crack the safe;Search the piles;Visit Shop;Leave the room,Jeweled Ring,,,,,85
